年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,252,中山區,"台北市中山區朱園里松江路25巷9號B1
 (朱園里里辦公室)",1111117,14:00-17:00,智慧精準翻譯最即時,15
111,253,松山區,"台北市松山區東勢里南京東路四段133巷8弄17號1樓
 (樂齡學堂)",1111118,09:00-12:00,老照片舊回憶愛長存,24
111,254,南港區,"臺北市南港區舊莊里南深路21巷18號
 (復生教會社區照顧關懷據點)",1111118,09:00-12:00,樂齡手機上網輕鬆學,20
111,255,大同區,"臺北市大同區蓬萊里承德路3段60號B1
 (中華萌愛關懷協會)",1111118,09:00-12:00,亮麗自拍展現我的美,21
111,256,內湖區,"臺北市內湖區湖興里成功路2段240-242號1樓
 (中華民國天使之家全人關懷協會)",1111118,13:30-16:30,亮麗自拍展現我的美,17
111,257,內湖區,"臺北市內湖區港都里麗山街348巷22號2樓
 (麗山禮拜堂)",1111118,13:30-16:30,玩轉社群愉快交朋友,34
111,258,萬華區,"臺北市萬華區保德里東園街140巷10號
 (台北市萬華區保德里辦公處)",1111118,13:30-16:30,亮麗自拍展現我的美,21
111,259,信義區,"台北市信義區雙和里吳興街284巷24弄12號
 (雙和社區發展協會)",1111118,13:30-16:30,亮麗自拍展現我的美,15
111,260,內湖區,"台北市內湖區紫雲里康寧路一段228號
 (紫雲社區發展協會社區照顧關懷據點)",1111118,14:00-17:00,亮麗自拍展現我的美,18
111,261,大同區,台北市大同區重慶里重慶北路三段347號2樓之2 大龍市場2樓 (大龍區民活動場所教室),1111119,09:00-12:00,亮麗自拍展現我的美,22
111,262,大安區,"台北市大安區建安里忠孝東路四段169號4樓之1
 (巨匠電腦東區認證)",1111119,09:30-12:30,美食佳餚點點送到家,17
111,263,大安區,"台北市大安區建安里忠孝東路四段169號4樓之1
 (巨匠電腦東區認證)",1111119,13:30-16:30,亮麗自拍展現我的美,22
111,264,中山區,"台北市中山區新生里新生北路二段133巷45號1樓
(新安社區發展協會)",1111119,13:30-16:30,亮麗自拍展現我的美,27
111,265,大安區,"台北市大安區建安里忠孝東路四段169號4樓之1
 (巨匠電腦東區認證)",1111120,09:30-12:30,拍出誘人的美食風味,14
111,266,大安區,"台北市大安區建安里忠孝東路四段169號4樓之1
 (巨匠電腦東區認證)",1111120,13:30-16:30,老照片舊回憶愛長存,23
111,267,中山區,"台北市中山區新生里新生北路二段133巷45號1樓
 (新安社區發展協會)",1111120,18:00~21:00,懷念老歌金曲開心聽,26
